accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
E-396,0,,,,E-396,,,2024-01-25,,Library,,,,,,0,George Meredith,,0,0,,,Story of a love lorn man who tries to get 2 womans attention. and cannot make up his mind between the 2.  REVISED EDITION,,0,,,0,,,,,,,,,,,065\E396.JPG                                                ,3,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-396,book,,,,,,,,Blue/black cover with silver floral on the spine,,,Book League of America,,,,,,,,,,,,,,,,,Comedy in Narrative,,,,,,,,The Egoist,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:37:59,Unknown,,false,,DCD971D1-B5AF-40B5-9B82-779185741733
E-413,0,,,,E-413,,,2024-01-25,,Library,,,,,,0,Thomas Raddall,,0,0,,1960,American Revolutionary political story.  ,,0,,,0,,,,,,,,,,,065\E413.JPG                                                ,3,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-413,book,,,,,,,,Tan binder withdark blue writing on the spine,,,Doubleday,,,,,,,,,,,,,,,,,political during the late 1770s New Hampshire,,,,,,,,The Governors Lady,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:39:57,Unknown,,false,,DC9CEC40-20F7-4126-85B6-325194962340
E-006,0,,,,E-006,Our Civic Life,muecke,2024-01-25,,library,,,,,,0,"Emil Faith, Richard Browne PHD",,0,0,,1946,,,0,,,0,,,,,,,,,,,065\E006.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-006,book,,,,,,,,This is a red book   book with a gold picture on the front of the marine IWO JIMA  and capital building statues. On the back cover it is a gold  insignia with initials MB and Co.,,,Mentzer Bush and co.,,,,,,,,,,,,,,,,,Freedoms we cherish,,,,,,,,Our Civic Life and Progress,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T15:59:18,Unknown,,false,,1D83BFFE-9F71-4285-B404-250536993781
E-383,0,,,,E-383,,,2024-01-25,,Library,,,,,,0,Lyall,,0,0,,,,,0,,,0,,,,,,,,,,,065\E383.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-383,book,,,,,,,,Grey colored book with red writing for the title and a heart shape picture/world,,,Donahue,,,,,,,,,,,,,,,,,,,,,,,,,Won by Waiting,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:30:05,Unknown,,false,,B2330028-DBE9-49FA-83B9-448791156690
E-527,0,,,,E-527,,,2024-01-25,,,,,,,,0,GS Weaver DD.,,0,0,,1883,Stories of the lives of presidents at the time of publishing,,0,,,0,,,,,,,,,,,065\E527.JPG                                                ,3,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-527,book,,,,,,,,Tan cover with black decor and fancymLabel form title win gold type Also is Illustrated,,,The Elder Co.,,,,,,,,,,,,,,,,,lives and graves of past presidents,,,,,,,,Lives and Graves of  our Presidents,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:45:47,Unknown,,false,,4A4C94FB-8448-4372-AA69-735353055500
E-007,0,,,,E-007,,,2024-01-25,,,,,,,,0,Rueban Halleck MA LL.D,,0,0,,1911,,,0,,,0,,,,,,,,,,,065\E007.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-007,book,,,,,,,,This is a faded black binder with an  embossed picture on thje cover and gold print on the spine with a pegasus stamp,,,American Book Co.,,,,,,,,,,,,,,,,,writers stories,,,,,,,,History of the American Literature,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:00:55,Unknown,,false,,513F16A8-DB8A-46A1-B046-062948632265
E-370,0,,,"


Novelised from play by David Belasco",E-370,The music master,muecke,2024-01-25,,,,,,,,0,Charles Klein,,0,0,,1909,,,0,,,0,,,,,,,,,,,065\E370.JPG                                                ,1,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-370,book,,,,,,,,"341 pages in this book. It has a colored book with a violin in the cover in golds and green hues, white and black lettering",,,Grosset and Dunlap,,,,,,,,,,,,,,,,,,,,,,,,, The Music Master,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:25:44,Unknown,,false,,6367FADA-AE58-4521-B6A3-563106005549
E-366,0,,,Illustrated,E-366,great speeches,muecke,2024-01-25,,,,,,,,0,Col. R.G. Ingersoll,,0,0,,1898,,,0,,,0,,,,,,,,,,,065\E366.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-366,book,,,,,,,,Black or faded dark blue with fancy silver writing and floral decor the front cover.and spine.,,,Rhodes and McClure publishing,,,,,,,,,,,,,,,,,how to give great speeches,,,,,,,,Great Speeches,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:21:23,Unknown,,false,,9026CB5F-4980-42F1-B7EA-477497131955
E-365,0,,,Illustration by Henry Hutt,E-365,mississippi bubble,muecke,2024-01-25,,,,,,,,0,Emerson Hough,,0,0,,1902,This item originally was olive green with gold lettering but has faded over time. 425 pages,,0,,,0,,,,,,,,,,,065\E365.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-365,book,,,,,,,,Grey book with Silver decor and swirls on the front cover and a Fler De Lieu on the front,,,Bowen -Merrill,,,,,,,,,,,,,,,,,,,,,,,,,The Mississippi Bubble,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:19:54,Unknown,,false,,5B0FC925-AE1D-48EB-8204-206164940290
E-317,0,,,,E-317,,,2024-01-25,,,,,,,,0,D.H.Lawrence,,0,0,,,,,0,,,0,,,,,,,,,,,065\E317.JPG                                                ,2,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-317,book,,,,,,,,Black book binder withfaded red lettering on the spine..335 pages,,,World Publishing Co.,,"Forum Books, Cleveland New York",,,,,,,,,,,,,,,short stories,,,,,,,,The Virgin and the Gipsy,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:12:39,Unknown,,false,,3979C5E1-5205-475D-B26E-505303388827
