accessno,acqvalue,appnotes,appraisor,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,copyright,creator,credit,curvalmax,curvalue,dataset,date,descrip,dimnotes,dispvalue,earlydate,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,filmsize,flagdate,flagnotes,flagreason,frame,frameno,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,latdeg,latedate,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,medium,negloc,negno,notes,objectid,objname,objname2,objname3,objnames,oldno,origcopy,otherno,outdate,parent,people,place,policyno,printsize,process,provenance,pubnotes,recas,recdate,recfrom,relnotes,site,siteno,slideno,status,statusby,statusdate,sterms,studio,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Image of exhibit center has two additional duplicates. One duplicate is marked with red lines in left and right margins (appears to be two sets of 4 notches, meant to determine a crop of the image; one set of notches has been crossed-out), and has the in",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120284.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0284,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"5"" x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-12 11:15:32.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"First Dinosaur State Park exhibit center - photo likely taken from its first winter, 1968. 

Reverse side has red ""#6.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120285.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0285,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"5"" x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-12 11:15:28,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"A chalk (or white paint?) ""26"" is written on trackway, top-left corner of image. At right, two Eubrontes tracks are outlined. Unclear what is outlined at center (07/11/12; possibly an example of the ""swimming tracks""/""scratch"" marks described by observer",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120286.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0286,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"5"" x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 10:16:56.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Image of the trackway. Unclear which area of the trackway is shown. A chisel hammer in the grass at right may provide a sense of scale. Near top of image, a horizontal scale is labeled at equal intervals (left to right) from 4 through 0. Below the scale,",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120287.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0287,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"5"" x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 10:16:49.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Overview of a segment of the trackway with Eubrontes tracks pointing in all directions. Unclear which area of trackway is shown. Labels on the trackway include a ""59"" at bottom-left (above an upside-down scale showing ""11,"" ""12,"" and ""13,"" left-right at","Photo may have been 5 x 7"" with 1/4"" trimmed from either side.",,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120288-3.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0288,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"4 1/2 x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:23:49,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,Trackway area partly overlaps the previous image (DP2012.0288). Top-left corner has a prominent line of outlined Eubrontes tracks traveling from top-left towards center of image; a second trail of outlined tracks leads from center to top-right corner. Th,"Photo may have been 5 x 7"" with 1/4"" trimmed from either side.",,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120289-2.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0289,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"4 1/2 x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:27:51,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Image is very similar to DP2012.0159 and may have originated from the same film. 

The upper margin of the photo has a circled number ""3.""","Photo may have been 5 x 7"" with 1/4"" trimmed from either side.",,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120290.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0290,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"4 1/2 x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:29:20,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Image is very similar to DP2012.0160 and may have originated from the same film. 

The upper margin of the photo has a circled number ""6"" to the right of a line that may be a number 1 or a mark.","Photo may have been 5 x 7"" with 1/4"" trimmed from left side.",,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120291.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0291,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,,,"4 3/4 x 7""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:39:54.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,Top view of the Dilophosaurus model.,,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120292.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0292,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"3 1/2"" x 4 1/2""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:45:54,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"A rock slab showing negatives of Eubrontes prints.

Reverse side has two identical stamps which read ""Jul 1986.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120293.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0293,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"3 1/2"" x 4 3/4""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:54:36,,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Positive tracks; scale in the image is unclear.

Reverse side has stamp which reads: ""Jul 1986.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120294.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0294,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,,,"3 1/2"" x 4 3/4""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:51:39.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,Two positive tracks near center of image. Scale in the image is unclear.,,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120295.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0295,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"3 1/2"" x 4 3/4""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:52:50,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,1966,"Incredibly blurry photo appears to show geologists standing on a trackway area, location unknown (07/11/12). 

The lower margin of the image is printed with ""Sep 66."" On the reverse side is the handwritten note: ""Dinosaur Tracks Rocky Hill, Conn. 1966.",,,1966,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120296.JPG,1,,  -   -,,,,0,,  -   -,0,1966,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0296,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"3 1/2"" x 5""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-11 13:58:56.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-07-10 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Smaller trackway of the indoor exhibit center (bubble dome). Two sets of outlined Eubrontes tracks cross in an X pattern, traveling from top to bottom. 

Right margin is printed with ""Mar 69.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,003\DP20120297.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-07-10 00:00:00,,,,,,DP2012.0297,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"3 1/2"" x 5""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-12 11:15:04,Unknown,  -   -,False,
